Ticker,Company,Price,P/E Ratio
DELL,Dell Technologies Inc.,413.31,47.561565
TSN,"Tyson Foods, Inc.",61.55,48.464565
JBL,Jabil Inc.,360.11,48.53234
IR,Ingersoll Rand Inc.,72.215,48.793915
WAT,Waters Corporation,383.285,48.826115
COST,Costco Wholesale Corporation,952.75,49.596565
RVTY,"Revvity, Inc.",103.495,49.757214
O,Realty Income Corporation,60.875,49.89754
Q,"Qnity Electronics, Inc.",155.5,50.161293
HLT,Hilton Worldwide Holdings Inc.,329.1,50.244274
DLR,"Digital Realty Trust, Inc.",190.315,50.481434
AKAM,"Akamai Technologies, Inc.",149.645,50.555744
ISRG,"Intuitive Surgical, Inc.",421.59,51.28832
FIX,"Comfort Systems USA, Inc.",1801.005,51.917126
TXN,Texas Instruments Incorporated,307.95,52.64103
APP,AppLovin Corporation,610.775,53.01866
FTNT,"Fortinet, Inc.",136.95,53.081394
KEYS,"Keysight Technologies, Inc.",333.15,53.647343
TPL,Texas Pacific Land Corporation,394.16,53.99452
KLAC,KLA Corporation,1921.0,54.450115
ANET,"Arista Networks, Inc.",159.055,54.846546
SNDK,Sandisk Corporation,1652.0201,56.537308
SW,Smurfit Westrock Plc,40.85,56.736107
EA,Electronic Arts Inc.,201.825,57.664284
COF,Capital One Financial Corporation,188.87,58.113846
HWM,Howmet Aerospace Inc.,255.015,59.168213
XYZ,"Block, Inc.",75.8,59.218754
ARES,Ares Management Corporation,129.11,59.497696
MGM,MGM Resorts International,43.79,59.9863
DOC,"Healthpeak Properties, Inc.",19.27,60.218754
LRCX,Lam Research Corporation,318.855,60.389206
ADI,"Analog Devices, Inc.",410.4,61.25373
TER,"Teradyne, Inc.",369.73,68.46852
COIN,"Coinbase Global, Inc.",189.64,69.72059
NOW,"ServiceNow, Inc.",123.51,73.08284
EQIX,"Equinix, Inc.",1060.1,73.41413
TECH,Bio-Techne Corporation,51.57,73.67143
DASH,"DoorDash, Inc.",159.17,75.08019
SBUX,Starbucks Corporation,98.9,75.496185
TKO,"TKO Group Holdings, Inc.",204.8,76.13383
OXY,Occidental Petroleum Corporation,56.515,76.37162
VRT,Vertiv Holdings Co,310.745,77.88095
APO,"Apollo Global Management, Inc.",129.43,81.40251
STX,Seagate Technology Holdings plc,868.835,82.198204
GLW,Corning Incorporated,176.985,84.68182
AVGO,Broadcom Inc.,435.87,85.13086
GNRC,Generac Holdings Inc.,279.055,86.93302
CDNS,"Cadence Design Systems, Inc.",374.49,87.09069
ON,ON Semiconductor Corporation,119.8,88.088234
BA,The Boeing Company,230.32,90.67717
PWR,"Quanta Services, Inc.",714.31,97.850685
WELL,Welltower Inc.,206.01,100.00485
ABBV,AbbVie Inc.,216.13,106.46799
SNPS,"Synopsys, Inc.",474.25,108.52403
MPWR,"Monolithic Power Systems, Inc.",1564.72,111.367966
DD,"DuPont de Nemours, Inc.",48.48,127.57895
IRM,Iron Mountain Incorporated,126.45,135.96774
LITE,Lumentum Holdings Inc.,830.01,146.12852
NRG,"NRG Energy, Inc.",134.915,148.25822
VTR,"Ventas, Inc.",83.59,151.98181
PANW,"Palo Alto Networks, Inc.",278.725,154.84723
COHR,Coherent Corp.,343.73,162.90523
AMD,"Advanced Micro Devices, Inc.",506.17,168.72334
